Periodo,Año,Mes,Municipio,Homicidio doloso,Homicidio culposo,Feminicidio,Otros delitos que atentan contra la vida y la integridad corporal,Total
Diciembre 2024,2024,Diciembre,Choix,0,0,0,1,1
Diciembre 2024,2024,Diciembre,Elota,9,1,0,2,12
Diciembre 2024,2024,Diciembre,Escuinapa,1,2,0,1,4
Diciembre 2024,2024,Diciembre,El Fuerte,1,0,0,5,6
Diciembre 2024,2024,Diciembre,Guasave,1,7,0,7,15
Diciembre 2024,2024,Diciembre,Mazatlán,15,9,1,15,40
Diciembre 2024,2024,Diciembre,Mocorito,1,0,0,0,1
Diciembre 2024,2024,Diciembre,Rosario,0,1,1,0,2
Diciembre 2024,2024,Diciembre,Salvador Alvarado,2,0,0,2,4
Diciembre 2024,2024,Diciembre,San Ignacio,1,0,0,0,1
Diciembre 2024,2024,Diciembre,Sinaloa,1,2,0,0,3
Diciembre 2024,2024,Diciembre,Navolato,7,3,0,2,12
Diciembre 2024,2024,Diciembre,Eldorado,3,0,0,1,4
Diciembre 2024,2024,Diciembre,Juan José Ríos,0,0,0,0,0
Enero 2025,2025,Enero,Ahome,2,8,0,7,17
Enero 2025,2025,Enero,Angostura,0,1,0,1,2
Enero 2025,2025,Enero,Badiraguato,0,0,0,0,0
Enero 2025,2025,Enero,Concordia,1,1,0,0,2
Enero 2025,2025,Enero,Cosalá,0,0,0,0,0
Enero 2025,2025,Enero,Culiacán,71,10,0,5,86
Enero 2025,2025,Enero,Choix,2,1,0,0,3
Enero 2025,2025,Enero,Elota,2,2,0,1,5
Enero 2025,2025,Enero,Escuinapa,4,3,0,1,8
Enero 2025,2025,Enero,El Fuerte,1,3,0,0,4
Enero 2025,2025,Enero,Guasave,0,2,0,2,4
Enero 2025,2025,Enero,Mazatlán,18,4,0,28,50
Enero 2025,2025,Enero,Mocorito,2,0,0,1,3
Enero 2025,2025,Enero,Rosario,1,0,0,0,1
Enero 2025,2025,Enero,Salvador Alvarado,0,2,0,0,2
Enero 2025,2025,Enero,San Ignacio,1,2,0,1,4
Enero 2025,2025,Enero,Sinaloa,0,0,0,0,0
Enero 2025,2025,Enero,Navolato,3,2,0,3,8
Enero 2025,2025,Enero,Eldorado,0,1,0,0,1
Enero 2025,2025,Enero,Juan José Ríos,0,1,0,0,1
Febrero 2025,2025,Febrero,Ahome,3,8,2,11,24
Febrero 2025,2025,Febrero,Angostura,1,2,0,1,4
Febrero 2025,2025,Febrero,Badiraguato,0,1,0,1,2
Febrero 2025,2025,Febrero,Concordia,2,0,0,0,2
Febrero 2025,2025,Febrero,Cosalá,0,0,0,0,0
Febrero 2025,2025,Febrero,Culiacán,73,8,2,9,92
Febrero 2025,2025,Febrero,Choix,0,0,0,0,0
Febrero 2025,2025,Febrero,Elota,2,1,0,2,5
Febrero 2025,2025,Febrero,Escuinapa,0,3,0,1,4
Febrero 2025,2025,Febrero,El Fuerte,0,0,0,3,3
Febrero 2025,2025,Febrero,Guasave,2,8,0,3,13
Febrero 2025,2025,Febrero,Mazatlán,11,7,0,12,30
Febrero 2025,2025,Febrero,Mocorito,1,2,0,0,3
Febrero 2025,2025,Febrero,Rosario,1,4,0,1,6
Febrero 2025,2025,Febrero,Salvador Alvarado,0,0,1,2,3
Febrero 2025,2025,Febrero,San Ignacio,3,0,0,0,3
Febrero 2025,2025,Febrero,Sinaloa,1,1,0,1,3
Febrero 2025,2025,Febrero,Navolato,2,4,0,2,8
Febrero 2025,2025,Febrero,Eldorado,0,0,0,0,0
